,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
82,18034674,470412,0x23878914efe38d27c4d67ab83ed1b93a74d4086a8c2d0700,0.99995,,1693486319,Tether USD,Aave v3,Aave,2023-08-31 12:00:00+00:00
83,18034546,470412,0x018008bfb33d285247a21d44e50697654f754e638c2d0700,0.999941,,1693484759,Dai Stablecoin,Aave v3,Aave,2023-08-31 12:00:00+00:00
84,18034544,470412,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c8c2d0700,1.03236886,,1693484735,Savings Dai,Aave v3,Aave,2023-08-31 12:00:00+00:00
85,18034501,470412,0x0b925ed163218f6662a35e0f0371ac234f9e93718c2d0700,1951.50392871,,1693484219,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 12:00:00+00:00
86,18034388,470411,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e88b2d0700,1713.35,,1693482863,Wrapped Ether,Aave v3,Aave,2023-08-31 11:00:00+00:00
87,18034382,470411,0x23878914efe38d27c4d67ab83ed1b93a74d4086a8b2d0700,0.99995,,1693482791,Tether USD,Aave v3,Aave,2023-08-31 11:00:00+00:00
88,18034347,470411,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c8b2d0700,1.0,,1693482371,USD Coin,Aave v3,Aave,2023-08-31 11:00:00+00:00
89,18034343,470411,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de88b2d0700,27502.84497367,,1693482323,Wrapped BTC,Aave v3,Aave,2023-08-31 11:00:00+00:00
90,18034280,470411,0x0b925ed163218f6662a35e0f0371ac234f9e93718b2d0700,1949.52500182,,1693481543,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 11:00:00+00:00
91,18034241,470411,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c8b2d0700,1.03232049,,1693481075,Savings Dai,Aave v3,Aave,2023-08-31 11:00:00+00:00
92,18034150,470411,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a8b2d0700,6.002148,,1693479983,ChainLink Token,Aave v3,Aave,2023-08-31 11:00:00+00:00
93,18034146,470411,0x018008bfb33d285247a21d44e50697654f754e638b2d0700,0.99992936,,1693479935,Dai Stablecoin,Aave v3,Aave,2023-08-31 11:00:00+00:00
94,18034109,470410,0x23878914efe38d27c4d67ab83ed1b93a74d4086a8a2d0700,0.99995,,1693479491,Tether USD,Aave v3,Aave,2023-08-31 10:00:00+00:00
95,18034104,470410,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e88a2d0700,1704.72,,1693479431,Wrapped Ether,Aave v3,Aave,2023-08-31 10:00:00+00:00
96,18034087,470410,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c8a2d0700,1.0,,1693479227,USD Coin,Aave v3,Aave,2023-08-31 10:00:00+00:00
97,18034087,470410,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a8a2d0700,5.985,,1693479227,ChainLink Token,Aave v3,Aave,2023-08-31 10:00:00+00:00
98,18034074,470410,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de88a2d0700,27206.920296,,1693479071,Wrapped BTC,Aave v3,Aave,2023-08-31 10:00:00+00:00
99,18034051,470410,0x018008bfb33d285247a21d44e50697654f754e638a2d0700,0.99992936,,1693478795,Dai Stablecoin,Aave v3,Aave,2023-08-31 10:00:00+00:00
